Р“СЂСѓРїРїР°.РљРѕРґ;РћС‚РґРµР».РљРѕРґ;РўРѕРІР°СЂ.РљРѕРґ;Р”Р°С‚Р°;Р§Р°СЃ;РљРѕР»РёС‡РµСЃС‚РІРѕ | РЎСѓРјРјР°;РЎСѓРјРјР° | РЎСѓРјРјР°
33;1;82545;21.12.2008;11;1;274.74
33;1;82545;23.12.2008;9;2;549.47
33;1;82545;23.12.2008;13;1;274.74
33;1;82545;26.12.2008;13;1;274.74
33;1;82545;27.12.2008;16;1;274.74
33;1;82545;29.12.2008;16;5;1391.91
33;1;82545;30.12.2008;14;1;274.74
33;1;82545;04.01.2009;11;1;274.74
33;1;82545;04.01.2009;20;1;274.74
33;1;82545;05.01.2009;18;1;274.74
33;1;82545;08.01.2009;18;1;278.38
33;1;82545;09.01.2009;13;2;553.12
33;1;82545;09.01.2009;14;1;278.38
33;1;82545;10.01.2009;17;1;278.38
33;1;82545;11.01.2009;19;1;278.38
33;1;82545;12.01.2009;18;1;278.38
33;1;82545;13.01.2009;12;1;278.38
33;1;82545;14.01.2009;17;1;278.38
33;1;82545;15.01.2009;13;2;556.76
33;1;82545;15.01.2009;14;1;278.38
33;1;82545;16.01.2009;13;1;278.38
33;1;82545;16.01.2009;15;1;278.38
33;1;82545;18.01.2009;19;1;278.38
33;1;82545;18.01.2009;20;2;556.76
33;1;82545;19.01.2009;12;1;278.38
33;1;82545;19.01.2009;19;1;278.38
33;1;82545;20.01.2009;11;1;278.38
33;1;82545;21.01.2009;12;1;278.38
33;1;82545;21.01.2009;19;1;278.38
33;1;82545;22.01.2009;20;1;278.38
33;1;82545;23.01.2009;15;1;278.38
33;1;82545;26.01.2009;20;2;556.76
33;1;82545;30.01.2009;14;1;278.38
33;1;82545;30.01.2009;17;1;278.38
33;1;82545;31.01.2009;12;3;837.37
33;1;82545;01.02.2009;15;2;561.21
33;1;82545;01.02.2009;18;1;280.61
33;1;82545;03.02.2009;19;2;558.99
33;1;82545;04.02.2009;18;2;561.21
33;1;82545;05.02.2009;15;1;280.61
33;1;82545;07.02.2009;12;1;280.61
33;1;82545;07.02.2009;13;1;280.61
33;1;82545;08.02.2009;15;2;561.21
33;1;82545;09.02.2009;14;2;561.21
33;1;82545;09.02.2009;18;1;280.61
33;1;82545;12.02.2009;15;1;280.61
33;1;82545;15.02.2009;10;1;280.61
33;1;82545;16.02.2009;13;1;280.61
33;1;82545;17.02.2009;19;1;280.61
33;1;82545;18.02.2009;14;1;280.61
33;1;82545;19.02.2009;11;2;561.21
33;1;82545;19.02.2009;12;1;280.61
33;1;82545;23.02.2009;16;1;277.76
33;1;82545;25.02.2009;12;2;555.52
33;1;82545;26.02.2009;18;2;555.52
33;1;82545;27.02.2009;18;2;555.52
33;1;82545;28.02.2009;10;1;277.76
33;1;82545;28.02.2009;13;1;277.76
33;1;82545;28.02.2009;16;1;277.76
33;1;82545;28.02.2009;18;1;277.76
33;1;83149;03.12.2008;19;1;162.26
33;1;83149;06.12.2008;19;1;165.32
33;1;83149;11.12.2008;18;1;162.26
33;1;83149;15.12.2008;15;1;165.32
33;1;83149;15.12.2008;16;1;165.32
33;1;83149;21.12.2008;16;1;165.32
33;1;83149;21.12.2008;17;1;165.32
33;1;83149;23.12.2008;15;2;330.64
33;1;83149;28.12.2008;16;2;330.29
33;1;83149;04.01.2009;16;1;165.15
33;1;83149;05.01.2009;11;1;165.15
33;1;83149;08.01.2009;13;1;165.15
33;1;83149;08.01.2009;14;1;165.15
33;1;83149;10.01.2009;20;1;165.15
33;1;83149;12.01.2009;13;1;165.15
33;1;83149;13.01.2009;11;1;165.15
33;1;83149;14.01.2009;11;1;165.15
33;1;83149;15.01.2009;14;1;165.15
33;1;83149;18.01.2009;15;1;165.15
33;1;83149;18.01.2009;20;1;165.15
33;1;83149;22.01.2009;10;2;330.29
33;1;83149;23.01.2009;15;1;165.15
33;1;83149;25.01.2009;10;1;165.15
33;1;83149;29.01.2009;12;1;165.15
33;1;83149;29.01.2009;18;1;165.15
33;1;83149;29.01.2009;19;1;165.15
33;1;83149;01.02.2009;18;1;165.15
33;1;83149;03.02.2009;19;1;165.15
33;1;83149;07.02.2009;12;1;166.47
33;1;83149;07.02.2009;16;1;166.47
33;1;83149;08.02.2009;17;2;332.94
33;1;83149;11.02.2009;18;1;166.47
33;1;83149;16.02.2009;11;1;164.87
33;1;83149;18.02.2009;13;1;164.87
33;1;83149;18.02.2009;14;1;164.87
33;1;83149;19.02.2009;11;1;164.87
33;1;83149;24.02.2009;14;1;163.59
33;1;83149;28.02.2009;13;1;163.59
33;1;84955;02.12.2008;17;10;110.37
33;1;84955;06.12.2008;13;3;33.11
33;1;84955;12.12.2008;9;10;110.37
33;1;84955;19.12.2008;11;2;22.июл
33;1;84955;25.12.2008;10;10;110.37
33;1;84955;27.12.2008;20;2;22.июл
33;1;84955;06.01.2009;17;10;110.37
33;1;84955;16.01.2009;19;3;33.11
33;1;84955;17.01.2009;19;1;11.апр
33;1;84955;26.01.2009;10;2;22.июл
33;1;84955;26.01.2009;19;5;55.19
33;1;84955;02.02.2009;12;4;44.15
33;1;84955;03.02.2009;19;10;120.12
33;1;84955;14.02.2009;19;1;12.ноя
33;1;84955;17.02.2009;11;3;36.33
33;1;84955;21.02.2009;17;2;24.22
33;1;84955;22.02.2009;18;2;24.22
33;1;85003;12.02.2009;17;1;119.36
33;1;85865;23.01.2009;12;10;120.12
33;1;85891;24.01.2009;19;1;98.67
33;1;85891;31.01.2009;14;1;98.67
33;1;85891;07.02.2009;10;1;98.67
33;1;85891;14.02.2009;18;3;296.01
33;1;85891;17.02.2009;18;3;296.01
33;1;85891;26.02.2009;12;1;98.67
33;1;86145;10.02.2009;17;2;566.48
33;1;86145;13.02.2009;11;1;283.24
33;1;86145;14.02.2009;19;1;283.24
33;1;86145;16.02.2009;10;1;283.24
33;1;86145;19.02.2009;18;1;284.06
33;1;86145;20.02.2009;9;2;568.11
33;1;86145;21.02.2009;12;1;284.06
33;1;86145;22.02.2009;17;1;284.06
33;1;86145;23.02.2009;13;1;284.06
33;1;86145;24.02.2009;13;1;284.06
33;1;86145;24.02.2009;17;2;568.11
33;1;86145;25.02.2009;17;1;284.06
33;1;86145;26.02.2009;16;2;568.11
33;1;86145;27.02.2009;14;2;568.11
33;1;86145;28.02.2009;19;1;284.06
33;1;86145;01.03.2009;19;2;568.11
33;2;828;13.12.2008;13;4;336.47
33;2;828;14.12.2008;17;2;168.64
33;2;828;11.01.2009;12;1;84.32
33;2;828;12.01.2009;19;1;84.32
33;2;828;13.01.2009;12;2;168.64
33;2;828;14.01.2009;15;1;84.32
33;2;828;18.01.2009;18;1;84.32
33;2;828;22.01.2009;13;1;84.32
33;2;828;23.01.2009;11;1;84.32
33;2;828;26.01.2009;16;1;84.32
33;2;828;11.02.2009;14;1;84.32
33;2;828;14.02.2009;9;1;84.32
33;2;828;14.02.2009;20;1;84.32
33;2;828;18.02.2009;13;1;84.32
33;2;828;23.02.2009;16;1;84.32
33;2;844;08.12.2008;13;1;62.36
33;2;15723;05.12.2008;13;1;76.81
33;2;15723;10.12.2008;12;1;76.81
33;2;15723;16.12.2008;19;1;76.81
33;2;15723;19.01.2009;17;2;153.62
33;2;15723;09.02.2009;18;3;230.28
33;2;15723;24.02.2009;17;1;76.65
33;2;15723;28.02.2009;11;1;76.28
33;2;24061;04.12.2008;12;1;278.67
33;2;24061;25.12.2008;12;1;280.8
33;2;24061;01.01.2009;14;1;277.89
33;2;24061;07.01.2009;16;1;280.8
33;2;24061;28.01.2009;19;1;292.85
33;2;24061;29.01.2009;13;1;280.8
33;2;24061;19.02.2009;14;1;293.28
33;2;24061;23.02.2009;14;1;292.85
33;2;24061;01.01.2011;14;1;277.89
33;2;25191;01.12.2008;21;1;268.85
33;2;25191;06.12.2008;10;1;268.85
33;2;25191;12.12.2008;11;1;268.85
33;2;25191;07.01.2009;12;1;282.56
33;2;25191;23.01.2009;13;1;282.56
33;2;25191;27.02.2009;10;1;282.56
33;2;69349;10.12.2008;18;1;332.94
33;2;69349;23.02.2009;16;1;318.73
33;2;69350;31.01.2009;21;1;475.45
33;2;77072;08.12.2008;11;1;211.52
33;2;77073;12.12.2008;14;1;247.01
33;2;77074;14.12.2008;16;1;237.96
33;2;77074;21.01.2009;18;1;237.96
33;2;77075;06.12.2008;21;1;405.33
33;2;77075;12.12.2008;13;1;405.33
33;2;77075;20.01.2009;16;1;427.54
33;2;77075;25.01.2009;19;1;427.54
33;2;77075;14.02.2009;14;1;427.54
33;2;77075;26.02.2009;14;1;420.15
33;2;82545;02.12.2008;10;1;285.71
33;2;82545;02.12.2008;17;1;285.71
33;2;82545;03.12.2008;21;1;285.71
33;2;82545;05.12.2008;17;2;571.43
33;2;82545;09.12.2008;15;1;285.71
33;2;82545;11.12.2008;11;1;285.71
33;2;82545;11.12.2008;21;1;285.71
33;2;82545;14.12.2008;16;1;285.71
33;2;82545;14.12.2008;19;1;285.71
33;2;82545;14.12.2008;21;1;285.71
33;2;82545;15.12.2008;15;1;285.71
33;2;82545;16.12.2008;15;1;285.71
33;2;82545;17.12.2008;18;1;285.71
33;2;82545;19.12.2008;20;2;571.43
33;2;82545;20.12.2008;10;1;285.71
33;2;82545;21.12.2008;10;2;571.43
33;2;82545;22.12.2008;11;1;285.71
33;2;82545;24.12.2008;15;1;285.71
33;2;82545;24.12.2008;17;1;285.71
33;2;82545;25.12.2008;20;1;285.71
33;2;82545;26.12.2008;16;2;571.43
33;2;82545;27.12.2008;18;1;285.71
33;2;82545;27.12.2008;20;1;285.71
33;2;82545;30.12.2008;16;1;285.71
33;2;82545;03.01.2009;11;1;289.52
33;2;82545;03.01.2009;14;1;289.52
33;2;82545;04.01.2009;15;2;579.03
33;2;82545;04.01.2009;16;1;289.52
33;2;82545;04.01.2009;21;1;289.52
33;2;82545;05.01.2009;13;1;289.52
33;2;82545;05.01.2009;16;2;579.03
33;2;82545;05.01.2009;21;1;289.52
33;2;82545;06.01.2009;18;1;289.52
33;2;82545;07.01.2009;12;1;289.52
33;2;82545;09.01.2009;11;1;289.52
33;2;82545;09.01.2009;15;1;289.52
33;2;82545;10.01.2009;17;1;289.52
33;2;82545;17.01.2009;17;1;289.52
33;2;82545;19.01.2009;20;1;289.52
33;2;82545;21.01.2009;19;3;868.55
33;2;82545;24.01.2009;19;1;289.52
33;2;82545;24.01.2009;20;1;289.52
33;2;82545;25.01.2009;13;1;289.52
33;2;82545;25.01.2009;21;1;289.52
33;2;82545;26.01.2009;15;1;289.52
33;2;82545;27.01.2009;20;1;289.52
33;2;82545;27.01.2009;21;1;289.52
33;2;82545;28.01.2009;18;1;289.52
33;2;82545;29.01.2009;11;1;289.52
33;2;82545;29.01.2009;16;1;289.52
33;2;82545;30.01.2009;21;1;289.52
33;2;82545;31.01.2009;18;1;289.52
33;2;82545;01.02.2009;20;1;289.52
33;2;82545;08.02.2009;12;2;579.03
33;2;82545;11.02.2009;18;1;289.52
33;2;82545;12.02.2009;19;1;289.52
33;2;82545;13.02.2009;13;1;289.52
33;2;82545;13.02.2009;16;1;289.52
33;2;82545;16.02.2009;17;1;289.52
33;2;82545;18.02.2009;14;2;579.03
33;2;82545;19.02.2009;11;1;289.52
33;2;82545;25.02.2009;12;1;289.52
33;2;82545;27.02.2009;15;1;289.52
33;2;82545;28.02.2009;15;1;285.71
33;2;83149;02.12.2008;19;1;162.57
33;2;83149;12.12.2008;14;1;170.88
33;2;83149;13.12.2008;14;1;170.88
33;2;83149;15.12.2008;15;1;170.88
33;2;83149;16.12.2008;16;1;170.88
33;2;83149;17.12.2008;18;1;170.88
33;2;83149;24.12.2008;20;2;343.86
33;2;83149;28.12.2008;11;1;171.93
33;2;83149;06.01.2009;15;2;343.86
33;2;83149;12.01.2009;18;1;171.93
33;2;83149;16.01.2009;14;2;343.86
33;2;83149;24.01.2009;16;1;171.76
33;2;83149;25.01.2009;11;1;171.76
33;2;83149;27.01.2009;14;1;171.93
33;2;83149;28.01.2009;18;1;171.93
33;2;83149;13.02.2009;14;1;171.76
33;2;83149;14.02.2009;20;1;168.77
33;2;83149;27.02.2009;15;1;168.77
33;2;83149;28.02.2009;21;1;171.76
33;2;84559;17.12.2008;20;1;83.93
33;2;84955;09.12.2008;15;10;109.59
33;2;84955;29.12.2008;19;10;109.59
33;2;85003;09.01.2009;15;1;116.67
33;2;85003;10.01.2009;15;1;116.18
33;2;85003;27.01.2009;15;1;116.67
33;2;85003;17.02.2009;15;1;116.67
33;2;85237;14.12.2008;21;2;159.35
33;2;85237;16.12.2008;20;2;159.35
33;2;85237;22.12.2008;21;1;79.68
33;2;85237;26.12.2008;13;1;101.97
33;2;85237;29.12.2008;13;1;101.97
33;2;85237;29.01.2009;14;1;101.97
33;2;85237;16.02.2009;12;1;101.97
33;2;85865;25.02.2009;16;10;124.99
33;2;86145;17.02.2009;13;2;548.22
33;2;86145;17.02.2009;18;1;274.11
33;2;86145;22.02.2009;14;1;274.11
33;2;86145;23.02.2009;11;1;274.11
33;2;86145;23.02.2009;13;1;274.11
33;2;86145;27.02.2009;16;1;274.11
33;2;86145;27.02.2009;18;1;274.11
33;3;828;02.12.2008;13;2;163.99
33;3;828;03.12.2008;20;1;82
33;3;828;04.12.2008;13;1;82
33;3;828;05.12.2008;18;2;163.99
33;3;828;07.12.2008;14;1;82
33;3;828;08.12.2008;10;2;163.99
33;3;828;10.12.2008;15;2;163.99
33;3;828;10.12.2008;21;1;82
33;3;828;13.12.2008;19;1;82
33;3;828;20.12.2008;9;2;163.99
33;3;828;22.12.2008;19;1;82
33;3;828;23.12.2008;12;1;82
33;3;828;23.12.2008;17;1;82
33;3;828;29.12.2008;19;1;82
33;3;828;30.12.2008;12;1;82
33;3;828;31.12.2008;10;1;82
33;3;828;31.12.2008;14;1;82
33;3;828;02.01.2009;14;1;82
33;3;828;02.01.2009;19;1;82
33;3;828;04.01.2009;15;1;82
33;3;828;09.01.2009;12;1;82
33;3;828;13.01.2009;18;2;163.99
33;3;828;27.01.2009;17;1;82
33;3;828;28.01.2009;15;3;245.99
33;3;828;28.01.2009;18;1;82
33;3;828;30.01.2009;15;1;82
33;3;828;02.02.2009;16;1;82
33;3;828;04.02.2009;16;1;82
33;3;828;06.02.2009;17;1;82.66
33;3;828;11.02.2009;12;1;82.66
33;3;828;12.02.2009;10;1;82.66
33;3;828;13.02.2009;13;1;82.66
33;3;828;14.02.2009;18;3;247.98
33;3;828;15.02.2009;18;1;82.66
33;3;828;15.02.2009;20;1;82.66
33;3;828;18.02.2009;9;1;82.66
33;3;828;24.02.2009;16;1;82.66
33;3;828;24.02.2009;19;1;82.66
33;3;828;31.12.2010;10;1;82
33;3;828;31.12.2010;14;1;82
33;3;844;09.12.2008;18;1;57.6
33;3;844;17.02.2009;17;1;57.6
33;3;848;11.01.2009;16;1;366.27
33;3;848;09.02.2009;17;1;366.27
33;3;849;18.12.2008;16;1;122.34
33;3;849;16.02.2009;18;2;244.69
33;3;1145;03.12.2008;17;1;631.23
33;3;1145;04.12.2008;9;1;631.23
33;3;1145;08.12.2008;17;1;631.23
33;3;1145;20.12.2008;11;1;631.23
33;3;1145;23.12.2008;12;1;631.23
33;3;1145;24.12.2008;12;1;632.44
33;3;1145;20.01.2009;12;1;632.44
33;3;1145;25.01.2009;14;1;631.23
33;3;1145;09.02.2009;13;1;631.23
33;3;1145;14.02.2009;18;1;631.23
33;3;1145;19.02.2009;14;1;631.23
33;3;1145;22.02.2009;14;1;631.23
33;3;1145;24.02.2009;15;1;632.29
33;3;1148;21.12.2008;18;1;922.84
33;3;1148;27.12.2008;17;1;962.46
33;3;1148;25.01.2009;19;1;922.84
33;3;1148;09.02.2009;12;1;922.84
33;3;1151;02.12.2008;18;1;425.35
33;3;1151;10.12.2008;20;1;429.97
33;3;1151;14.12.2008;15;1;429.97
33;3;1151;14.12.2008;18;1;429.97
33;3;1151;19.12.2008;19;1;429.97
33;3;1151;26.12.2008;11;1;429.97
33;3;1151;05.01.2009;10;1;429.97
33;3;1151;05.01.2009;13;1;436.53
33;3;1151;05.01.2009;14;1;436.53
33;3;1151;14.01.2009;16;3;1296.48
33;3;1151;14.01.2009;17;1;429.97
33;3;1151;02.02.2009;17;1;429.97
33;3;1151;03.02.2009;15;1;429.97
33;3;1151;07.02.2009;16;1;429.97
33;3;1151;07.02.2009;17;1;429.97
33;3;1151;14.02.2009;16;1;429.97
33;3;1151;15.02.2009;18;1;429.97
33;3;1151;18.02.2009;9;1;429.97
33;3;1151;21.02.2009;17;1;429.97
33;3;1151;21.02.2009;19;1;429.97
33;3;1151;25.02.2009;17;1;429.97
33;3;1151;26.02.2009;14;1;429.97
33;3;15723;08.12.2008;10;1;73.87
33;3;15723;12.12.2008;15;1;73.87
33;3;15723;25.12.2008;18;1;73.71
33;3;15723;26.01.2009;17;1;73.87
33;3;15723;30.01.2009;14;1;73.87
33;3;15723;10.02.2009;17;1;74.3
33;3;15723;11.02.2009;18;1;74.3
33;3;15723;12.02.2009;19;1;74.3
33;3;15723;18.02.2009;18;1;74.3
33;3;15723;19.02.2009;16;2;148.59
33;3;15723;24.02.2009;16;1;74.3
33;3;20539;01.12.2008;17;1;341.33
33;3;20539;10.12.2008;20;1;271.26
33;3;20539;21.01.2009;12;1;341.33
33;3;20539;05.02.2009;19;1;278.62
33;3;20539;09.02.2009;14;1;271.26
33;3;20539;27.02.2009;20;1;275.11
33;3;24061;09.12.2008;14;1;287.98
33;3;24061;13.12.2008;11;1;287.98
33;3;24061;21.12.2008;16;1;281.58
33;3;24061;18.01.2009;15;1;281.58
33;3;24061;27.01.2009;17;1;265.9
33;3;24061;28.01.2009;18;1;265.9
33;3;24061;06.02.2009;18;1;284.25
33;3;24061;09.02.2009;11;1;284.25
33;3;24061;14.02.2009;15;1;284.25
33;3;24061;17.02.2009;15;1;284.25
33;3;24061;21.02.2009;12;1;284.25
33;3;24061;24.02.2009;10;1;295.68
33;3;24909;05.12.2008;13;2;106.86
33;3;24909;11.12.2008;11;1;53.43
33;3;24909;26.12.2008;15;2;106.86
33;3;24909;09.01.2009;20;1;53.43
33;3;24909;12.01.2009;16;1;51.44
33;3;24909;20.01.2009;10;1;51.44
33;3;24909;11.02.2009;14;1;52.71
33;3;24909;15.02.2009;18;1;51.44
33;3;24909;27.02.2009;14;1;56.49
33;3;24910;10.12.2008;20;2;110.53
33;3;24910;13.12.2008;16;1;55.26
33;3;24910;15.12.2008;11;1;55.26
33;3;24910;20.12.2008;10;2;110.53
33;3;24910;23.12.2008;12;3;157.95
33;3;24910;04.01.2009;13;3;159.35
33;3;24910;12.01.2009;16;1;53.12
33;3;24910;19.01.2009;19;1;53.12
33;3;24910;27.02.2009;14;1;53.12
33;3;25192;03.12.2008;16;1;230.94
33;3;25192;04.12.2008;15;1;230.94
33;3;25192;13.12.2008;10;1;230.94
33;3;25192;20.12.2008;19;1;230.94
33;3;25192;23.12.2008;17;1;271.69
33;3;25192;26.12.2008;12;1;271.69
33;3;25192;27.12.2008;8;1;271.69
33;3;25192;29.12.2008;19;1;271.69
33;3;25192;02.01.2009;10;1;271.69
33;3;25192;05.01.2009;11;1;271.69
33;3;25192;07.01.2009;11;1;271.69
33;3;25192;09.01.2009;17;1;271.69
33;3;25192;13.01.2009;14;2;543.39
33;3;25192;16.01.2009;14;1;271.69
33;3;25192;17.01.2009;10;1;271.69
33;3;25192;18.01.2009;11;1;271.69
33;3;25192;22.01.2009;11;1;271.69
33;3;25192;22.01.2009;14;1;271.69
33;3;25192;24.01.2009;17;1;271.69
33;3;25192;26.01.2009;13;1;273.86
33;3;25192;29.01.2009;10;1;273.86
33;3;25192;29.01.2009;12;1;273.86
33;3;25192;31.01.2009;12;1;273.86
33;3;25192;02.02.2009;14;1;273.86
33;3;25192;05.02.2009;12;1;273.86
33;3;25192;07.02.2009;10;1;273.86
33;3;25192;08.02.2009;12;1;273.86
33;3;25192;09.02.2009;17;1;273.86
33;3;25192;11.02.2009;11;1;262.98
33;3;25192;22.02.2009;12;1;273.86
33;3;25192;23.02.2009;11;1;262.98
33;3;25192;23.02.2009;19;1;262.98
33;3;25192;26.02.2009;17;1;262.98
33;3;31636;13.01.2009;18;1;97.07
33;3;31652;19.01.2009;19;1;302.99
33;3;33704;14.12.2008;9;1;267.85
